                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7772,                  3.084,                 1.7324,                0.00799,                0.15172,                0.00362,                0.00134,                    nan,                    nan,                    nan,             0.00065672,             0.00065672,             0.00065672
                      2,                   1.99,                 2.7569,                 1.9706,                0.00058,                 0.0069,                 0.0003,                0.00012,                 2.8265,                 59.138,                 2.6737,              0.0013103,              0.0013103,              0.0013103
                      3,                 2.0141,                 2.7717,                 1.9842,                 0.0029,                0.15172,                0.00121,                0.00035,                 3.2059,                    inf,                 43.563,              0.0019506,              0.0019506,              0.0019506
                      4,                 2.0243,                 2.8592,                 2.0247,                0.09838,                0.01379,                0.00455,                0.00175,                 3.2399,                 7.5809,                 10.242,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9362,                 2.7242,                 1.8876,                0.22328,                0.15172,                0.07584,                0.04055,                 2.3044,                 51.179,                 3.1837,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9166,                 2.6063,                  1.872,                0.11654,                0.22069,                  0.074,                0.03397,                 1.6846,                 72.894,                 1.8214,               0.001901,               0.001901,               0.001901
                      7,                 1.7671,                 2.3782,                 1.7491,                 0.1779,                0.16552,                0.08943,                 0.0442,                 1.7726,                 13.486,                 1.8112,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7563,                 2.3799,                 1.7516,                0.19223,                0.24828,                0.12748,                 0.0543,                 1.5494,                 53.321,                  1.701,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7635,                 2.3996,                 1.7675,                0.35162,                0.22066,                0.19548,                0.09612,                 1.5508,                 22.517,                 1.6867,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7218,                 2.2995,                 1.6938,                0.27253,                0.31724,                0.21915,                 0.1091,                 1.4917,                 25.312,                 1.5792,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7018,                  2.224,                 1.7058,                0.33883,                0.31724,                  0.233,                0.11584,                 1.5214,                 22.541,                 1.6448,               0.001802,               0.001802,               0.001802
                     12,                 1.6419,                 2.1378,                 1.6707,                0.41535,                0.35862,                0.28402,                0.14433,                 1.3324,                 36.362,                 1.4943,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6343,                 2.1392,                 1.6556,                0.31071,                0.32332,                 0.1935,                0.09302,                 1.4553,                 21.581,                 1.4839,              0.0017624,              0.0017624,              0.0017624
